Feedback_ID,Transaccion_ID,Rating_Producto,Rating_Logistica,Comentario_Texto,Recomienda_Marca,Ticket_Soporte_Abierto,Edad_Cliente,Satisfaccion_NPS,Feedback_UID,NPS_Categoria
FB-8000,TRX-17461,3.0,4,Sin Comentario,Sin Respuesta,True,50.0,-17.5,FBK-000000,Detractor
FB-8001,TRX-17755,4.0,5,Sin Comentario,Tal vez,True,59.0,-41.7,FBK-000001,Detractor
FB-8002,TRX-10534,3.0,4,No volvería,Tal vez,False,84.0,-36.4,FBK-000002,Detractor
FB-8003,TRX-12569,2.0,3,Sin Comentario,Sin Respuesta,True,20.0,7.4,FBK-000003,Pasivo
FB-8004,TRX-19159,4.0,2,Dañado,Sí,False,83.0,61.0,FBK-000004,Promotor
FB-8005,TRX-16051,5.0,3,Sin Comentario,Sí,True,77.0,95.0,FBK-000005,Promotor
FB-8006,TRX-11945,1.0,1,Precio justo,Sin Respuesta,True,46.0,63.4,FBK-000006,Promotor
FB-8007,TRX-19856,3.0,4,Precio justo,Sin Respuesta,False,24.0,-22.0,FBK-000007,Detractor
FB-8008,TRX-16694,1.0,4,Lento,No,False,21.0,75.1,FBK-000008,Promotor
FB-8009,TRX-11807,1.0,4,No volvería,No,False,67.0,64.8,FBK-000009,Promotor
FB-8010,TRX-11980,1.0,5,No volvería,No,True,38.0,82.4,FBK-000010,Promotor
FB-8011,TRX-16055,5.0,5,Sin Comentario,Sin Respuesta,True,26.0,-86.9,FBK-000011,Detractor
FB-8012,TRX-19367,2.0,3,Sin Comentario,Tal vez,True,77.0,-29.3,FBK-000012,Detractor
FB-8013,TRX-14744,4.0,2,Lento,Sin Respuesta,False,29.0,-90.7,FBK-000013,Detractor
FB-8014,TRX-10659,5.0,1,No volvería,Sin Respuesta,False,73.0,-35.7,FBK-000014,Detractor
FB-8015,TRX-18565,2.0,2,No volvería,Sin Respuesta,False,22.0,-43.9,FBK-000015,Detractor
FB-8016,TRX-12511,3.0,2,Sin Comentario,Sin Respuesta,True,80.0,82.1,FBK-000016,Promotor
FB-8017,TRX-11929,4.0,1,Precio justo,Sí,True,44.0,89.0,FBK-000017,Promotor
FB-8018,TRX-16086,2.0,5,Excelente,Sin Respuesta,False,66.0,39.0,FBK-000018,Pasivo
FB-8019,TRX-14995,3.0,4,Dañado,Sí,False,37.0,-43.4,FBK-000019,Detractor
FB-8020,TRX-16135,4.0,5,Dañado,Sin Respuesta,True,46.0,-98.6,FBK-000020,Detractor
FB-8021,TRX-14968,3.0,4,Excelente,Tal vez,False,53.0,34.1,FBK-000021,Pasivo
FB-8022,TRX-14816,5.0,4,Dañado,Tal vez,True,25.0,-0.1,FBK-000022,Detractor
FB-8023,TRX-17961,3.0,5,Excelente,Sí,False,47.0,-58.5,FBK-000023,Detractor
FB-8024,TRX-10458,1.0,2,No volvería,No,False,78.0,-64.8,FBK-000024,Detractor
FB-8025,TRX-12340,5.0,4,Lento,No,True,18.0,12.0,FBK-000025,Pasivo
FB-8026,TRX-12328,3.0,5,Sin Comentario,No,True,52.0,-73.9,FBK-000026,Detractor
FB-8027,TRX-19660,5.0,2,No volvería,No,False,63.0,9.8,FBK-000027,Pasivo
FB-8028,TRX-16910,4.0,1,Sin Comentario,No,False,35.0,83.2,FBK-000028,Promotor
FB-8029,TRX-10797,1.0,4,Lento,No,False,72.0,58.3,FBK-000029,Promotor
FB-8030,TRX-14999,1.0,2,Sin Comentario,Sin Respuesta,True,48.0,88.3,FBK-000030,Promotor
FB-8031,TRX-14644,3.0,4,Excelente,Sí,True,81.0,-50.3,FBK-000031,Detractor
FB-8032,TRX-13532,4.0,2,Sin Comentario,Sin Respuesta,True,37.0,90.4,FBK-000032,Promotor
FB-8033,TRX-12999,5.0,1,No volvería,Tal vez,False,46.0,-5.0,FBK-000033,Detractor
FB-8034,TRX-18008,3.0,4,Sin Comentario,Sí,True,60.0,26.1,FBK-000034,Pasivo
FB-8035,TRX-10034,2.0,5,Excelente,Sí,False,72.0,-41.2,FBK-000035,Detractor
FB-8036,TRX-12004,3.0,2,Sin Comentario,Tal vez,True,47.0,98.8,FBK-000036,Promotor
FB-8037,TRX-18970,2.0,1,Sin Comentario,No,False,50.0,-12.4,FBK-000037,Detractor
FB-8038,TRX-15712,1.0,4,Sin Comentario,No,True,35.0,-62.5,FBK-000038,Detractor
FB-8039,TRX-11106,3.0,1,Precio justo,Tal vez,True,66.0,14.8,FBK-000039,Pasivo
FB-8040,TRX-10732,3.0,1,Sin Comentario,Sin Respuesta,False,70.0,-48.9,FBK-000040,Detractor
FB-8041,TRX-16841,1.0,4,Sin Comentario,Sin Respuesta,True,68.0,-12.8,FBK-000041,Detractor
FB-8042,TRX-17883,5.0,4,Sin Comentario,Sí,True,27.0,-58.4,FBK-000042,Detractor
FB-8043,TRX-19389,3.0,2,Excelente,Sin Respuesta,True,82.0,-22.6,FBK-000043,Detractor
FB-8044,TRX-15074,4.0,5,Sin Comentario,Sin Respuesta,True,45.0,-81.5,FBK-000044,Detractor
FB-8045,TRX-19269,1.0,1,No volvería,Sin Respuesta,False,35.0,-43.0,FBK-000045,Detractor
FB-8046,TRX-17411,5.0,4,Lento,Tal vez,True,78.0,-50.2,FBK-000046,Detractor
FB-8047,TRX-15534,1.0,1,Precio justo,Sí,True,26.0,89.5,FBK-000047,Promotor
