Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Entrega_Atipica,Fecha_Futura_Invalida,Es_Venta_Fantasma,Categoria,Stock_Actual,Costo_Unitario_USD,Costo_Atipico,Bodega_Origen,Lead_Time_Dias_Clean,Ultima_Revision,Dias_Desde_Ultima_Revision,Rating_Producto_Prom,Rating_Logistica_Prom,Satisfaccion_NPS_Prom,Ticket_Soporte_Abierto,N_Feedbacks,Ingreso_Bruto,Margen_Utilidad_USD,Margen_Porcentual,Brecha_Entrega_Dias,Ratio_Soporte_Categoria
TRX-10000,PROD-3619,2025-04-25,7.0,1752.48,52.36,15.0,Entregado,Bucaramanga,Físico,True,False,True,Sin Catálogo,,,,Sin Bodega,,,,4.0,1.0,81.7,True,1,12267.36,,,,0.20959451741861793
TRX-10001,PROD-1456,2025-07-29,12.0,686.88,67.16,29.0,Entregado,Sin Ciudad,WhatsApp,False,False,False,Laptops,1935.0,245.14,False,Norte,10.0,2025-11-16,76.0,3.0,1.0,-45.6,True,1,8242.56,5233.72,0.634962924140073,19.0,0.21533203125
TRX-10002,PROD-1102,2025-05-31,2.0,402.06,32.55,13.0,Perdido,Medellín,Físico,False,False,False,Tablets,1180.0,722.77,False,Norte,3.0,2025-05-16,260.0,,,,False,0,804.12,-673.9699999999999,-0.8381460478535541,10.0,0.20235756385068762
TRX-10003,PROD-2126,2026-01-23,4.0,665.98,62.64,12.0,Perdido,Medellín,Online,False,False,False,Accesorios,856.0,1288.22,False,Zona_Franca,3.0,2024-09-04,514.0,,,,False,0,2663.92,-2551.6,-0.9578365716688189,9.0,0.20368574199806014
TRX-10004,PROD-2003,2025-10-09,5.0,1222.62,52.91,15.0,Entregado,Bogotá,App,False,False,False,Laptops,1399.0,839.17,False,Bod-Ext-99,27.5,2025-09-02,151.0,,,,False,0,6113.099999999999,1864.3399999999995,0.304974562824099,-12.5,0.21533203125
TRX-10005,PROD-1914,2025-11-05,2.0,740.61,25.63,29.0,Retrasado,Medellín,Online,False,False,False,Accesorios,1544.0,440.28,False,Bod-Ext-99,10.0,2024-03-17,685.0,,,,False,0,1481.22,575.0300000000001,0.3882137697303575,19.0,0.20368574199806014
TRX-10006,PROD-1571,2025-06-20,12.0,1349.06,30.32,23.0,Sin Información,Bogotá,Físico,False,False,False,Smartphones,1618.0,1496.74,False,Norte,10.0,2025-07-30,185.0,,,,False,0,16188.72,-1802.4800000000007,-0.11134172436116016,13.0,0.20174165457184326
TRX-10007,PROD-1419,2025-11-18,8.0,481.5,21.21,13.0,Perdido,Cali,App,False,False,False,Laptops,430.0,479.1,False,Bod-Ext-99,10.0,2024-05-06,635.0,,,,False,0,3852.0,-2.0100000000001828,-0.0005218068535826019,3.0,0.21533203125
TRX-10008,PROD-3771,2025-11-03,1.0,1404.98,10.38,6.0,Sin Información,Medellín,App,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,2.0,2.0,31.150000000000002,False,2,1404.98,,,,0.20959451741861793
TRX-10009,PROD-3233,2025-03-21,3.0,701.4,63.82,26.0,Sin Información,Medellín,Físico,False,False,False,Smartphones,1514.0,463.84,False,Norte,27.5,2024-05-13,628.0,,,,False,0,2104.2,648.86,0.30836422393308627,-1.5,0.20174165457184326
TRX-10010,PROD-1356,2025-04-04,7.0,917.18,68.91,14.0,Entregado,Bogotá,App,False,False,False,Tablets,1776.0,469.69,False,Norte,0.0,2025-06-30,215.0,5.0,1.0,-80.1,False,1,6420.259999999999,3063.52,0.47716447620501357,14.0,0.20235756385068762
TRX-10011,PROD-3418,2025-12-07,10.0,1119.91,20.77,3.0,Devuelto,Bogotá,Físico,False,False,False,Monitores,669.0,1363.57,False,Sur,3.0,2025-12-01,61.0,,,,False,0,11199.1,-2457.3699999999985,-0.21942566813404635,0.0,0.20249520153550865
TRX-10012,PROD-2728,2025-08-01,1.0,1375.59,52.36,8.0,Entregado,Cali,App,False,False,False,Tablets,445.0,124.9,False,Norte,0.0,2025-03-23,314.0,,,,False,0,1375.59,1198.33,0.8711389294775332,8.0,0.20235756385068762
TRX-10013,PROD-1130,2024-12-10,13.0,485.04,63.46,12.0,Entregado,Barranquilla,Físico,False,False,False,Accesorios,427.0,887.57,False,Sur,3.0,2025-08-07,177.0,,,,False,0,6305.52,-5296.35,-0.839954516043086,9.0,0.20368574199806014
TRX-10014,PROD-1122,2025-03-21,11.0,1673.53,98.3,14.0,Devuelto,Sin Ciudad,Online,False,False,False,Tablets,1344.0,553.9,False,Norte,3.0,2025-02-28,337.0,,,,False,0,18408.829999999998,12217.630000000001,0.6636831346696125,11.0,0.20235756385068762
TRX-10015,PROD-1383,2026-01-27,2.0,1446.47,12.07,5.0,Sin Información,Bucaramanga,App,False,False,False,Monitores,7.0,1027.07,False,Bod-Ext-99,10.0,2025-08-16,168.0,,,,False,0,2892.94,826.7300000000001,0.28577502471534155,-5.0,0.20249520153550865
TRX-10016,PROD-1895,2025-03-04,3.0,475.85,51.59,2.0,Perdido,Sin Ciudad,WhatsApp,False,False,False,Accesorios,1865.0,1405.09,False,Norte,10.0,2024-04-08,663.0,3.0,3.5,-44.449999999999996,True,2,1427.5500000000002,-2839.31,-1.9889390914503868,-8.0,0.20368574199806014
TRX-10017,PROD-1952,2025-04-12,14.0,1950.2,74.64,10.0,Sin Información,Sin Ciudad,Online,False,False,False,Monitores,673.0,1010.35,False,Norte,5.0,2024-08-08,541.0,,,,False,0,27302.8,13083.26,0.4791911452305258,5.0,0.20249520153550865
TRX-10018,PROD-3069,2024-10-06,14.0,1332.95,9.37,3.0,Devuelto,Cali,WhatsApp,False,False,False,Smartphones,20.0,1369.78,False,Norte,27.5,2024-03-10,692.0,,,,False,0,18661.3,-524.989999999999,-0.02813255239452766,-24.5,0.20174165457184326
TRX-10019,PROD-3465,2025-09-04,2.0,910.33,78.94,23.0,Perdido,Medellín,Online,False,False,False,Smartphones,1058.0,890.67,False,Occidente,5.0,2025-04-09,297.0,3.0,2.0,-4.1,False,1,1820.66,-39.619999999999834,-0.021761339294541448,18.0,0.20174165457184326
TRX-10020,PROD-1108,2025-05-26,2.0,323.48,98.05,10.0,Retrasado,Bogotá,Online,False,False,False,Laptops,1927.0,1121.36,False,Norte,5.0,2025-05-16,260.0,,,,False,0,646.96,-1693.8099999999997,-2.6181062198590324,5.0,0.21533203125
TRX-10021,PROD-3298,2024-10-06,12.0,1071.11,13.41,9.0,Perdido,Bogotá,Online,False,False,False,Smartphones,1720.0,114.65,False,Bod-Ext-99,10.0,2025-12-14,48.0,,,,False,0,12853.32,11464.109999999999,0.8919181970105777,-1.0,0.20174165457184326
TRX-10022,PROD-1814,2024-12-30,11.0,337.9,83.11,17.0,En Camino,Bogotá,WhatsApp,False,False,False,Accesorios,1055.0,657.69,False,Zona_Franca,5.0,2025-10-07,116.0,1.0,5.0,85.9,True,1,3716.8999999999996,-3600.800000000001,-0.9687642928246661,12.0,0.20368574199806014
TRX-10023,PROD-3932,2024-10-25,6.0,864.69,40.97,28.0,Perdido,Sin Ciudad,Online,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,,,,False,0,5188.14,,,,0.20959451741861793
TRX-10024,PROD-3661,2025-12-02,7.0,823.34,52.36,6.0,En Camino,Sin Ciudad,App,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,,,,False,0,5763.38,,,,0.20959451741861793
TRX-10025,PROD-3872,2025-06-06,6.0,1442.68,18.69,27.0,Perdido,Barranquilla,App,False,False,True,Sin Catálogo,,,,Sin Bodega,,,,3.0,3.0,-11.7,True,1,8656.08,,,,0.20959451741861793
TRX-10026,PROD-3232,2024-10-26,11.0,392.84,51.85,9.0,Devuelto,Bogotá,App,False,False,False,Tablets,1546.0,1016.29,False,Occidente,5.0,2024-09-01,517.0,,,,False,0,4321.24,-6909.800000000001,-1.5990317594023942,4.0,0.20235756385068762
TRX-10027,PROD-2718,2024-10-11,6.0,1645.52,11.79,23.0,Perdido,Medellín,Online,False,False,False,Tablets,369.0,409.07,False,Sur,0.0,2025-06-07,238.0,3.0,2.0,48.2,False,1,9873.119999999999,7406.910000000001,0.7502096601682144,23.0,0.20235756385068762
TRX-10028,PROD-1902,2025-02-21,9.0,659.0,54.6,3.0,Entregado,Cali,Físico,False,False,False,Laptops,1880.0,239.54,False,Sur,10.0,2025-02-10,355.0,,,,False,0,5931.0,3720.5400000000004,0.6273039959534649,-7.0,0.21533203125
TRX-10029,PROD-2839,2026-01-25,8.0,893.54,6.84,7.0,Perdido,Sin Ciudad,Físico,False,False,False,Laptops,1365.0,816.63,False,Sur,5.0,2026-01-06,25.0,,,,False,0,7148.32,608.4399999999997,0.08511650289858312,2.0,0.21533203125
