Transaccion_ID,SKU_ID,Fecha_Venta,Cantidad_Vendida,Precio_Venta_Final,Costo_Envio,Tiempo_Entrega_Real,Estado_Envio,Ciudad_Destino,Canal_Venta,Entrega_Atipica,Fecha_Futura_Invalida,Es_Venta_Fantasma
TRX-10000,PROD-3619,2025-04-25,7.0,1752.48,52.36,15.0,Entregado,Bucaramanga,Físico,True,False,True
TRX-10001,PROD-1456,2025-07-29,12.0,686.88,67.16,29.0,Entregado,Sin Ciudad,WhatsApp,False,False,False
TRX-10002,PROD-1102,2025-05-31,2.0,402.06,32.55,13.0,Perdido,Medellín,Físico,False,False,False
TRX-10003,PROD-2126,2026-01-23,4.0,665.98,62.64,12.0,Perdido,Medellín,Online,False,False,False
TRX-10004,PROD-2003,2025-10-09,5.0,1222.62,52.91,15.0,Entregado,Bogotá,App,False,False,False
TRX-10005,PROD-1914,2025-11-05,2.0,740.61,25.63,29.0,Retrasado,Medellín,Online,False,False,False
TRX-10006,PROD-1571,2025-06-20,12.0,1349.06,30.32,23.0,Sin Información,Bogotá,Físico,False,False,False
TRX-10007,PROD-1419,2025-11-18,8.0,481.5,21.21,13.0,Perdido,Cali,App,False,False,False
TRX-10008,PROD-3771,2025-11-03,1.0,1404.98,10.38,6.0,Sin Información,Medellín,App,False,False,True
TRX-10009,PROD-3233,2025-03-21,3.0,701.4,63.82,26.0,Sin Información,Medellín,Físico,False,False,False
TRX-10010,PROD-1356,2025-04-04,7.0,917.18,68.91,14.0,Entregado,Bogotá,App,False,False,False
TRX-10011,PROD-3418,2025-12-07,10.0,1119.91,20.77,3.0,Devuelto,Bogotá,Físico,False,False,False
TRX-10012,PROD-2728,2025-08-01,1.0,1375.59,52.36,8.0,Entregado,Cali,App,False,False,False
TRX-10013,PROD-1130,2024-12-10,13.0,485.04,63.46,12.0,Entregado,Barranquilla,Físico,False,False,False
TRX-10014,PROD-1122,2025-03-21,11.0,1673.53,98.3,14.0,Devuelto,Sin Ciudad,Online,False,False,False
TRX-10015,PROD-1383,2026-01-27,2.0,1446.47,12.07,5.0,Sin Información,Bucaramanga,App,False,False,False
TRX-10016,PROD-1895,2025-03-04,3.0,475.85,51.59,2.0,Perdido,Sin Ciudad,WhatsApp,False,False,False
TRX-10017,PROD-1952,2025-04-12,14.0,1950.2,74.64,10.0,Sin Información,Sin Ciudad,Online,False,False,False
TRX-10018,PROD-3069,2024-10-06,14.0,1332.95,9.37,3.0,Devuelto,Cali,WhatsApp,False,False,False
TRX-10019,PROD-3465,2025-09-04,2.0,910.33,78.94,23.0,Perdido,Medellín,Online,False,False,False
TRX-10020,PROD-1108,2025-05-26,2.0,323.48,98.05,10.0,Retrasado,Bogotá,Online,False,False,False
TRX-10021,PROD-3298,2024-10-06,12.0,1071.11,13.41,9.0,Perdido,Bogotá,Online,False,False,False
TRX-10022,PROD-1814,2024-12-30,11.0,337.9,83.11,17.0,En Camino,Bogotá,WhatsApp,False,False,False
TRX-10023,PROD-3932,2024-10-25,6.0,864.69,40.97,28.0,Perdido,Sin Ciudad,Online,False,False,True
TRX-10024,PROD-3661,2025-12-02,7.0,823.34,52.36,6.0,En Camino,Sin Ciudad,App,False,False,True
TRX-10025,PROD-3872,2025-06-06,6.0,1442.68,18.69,27.0,Perdido,Barranquilla,App,False,False,True
TRX-10026,PROD-3232,2024-10-26,11.0,392.84,51.85,9.0,Devuelto,Bogotá,App,False,False,False
TRX-10027,PROD-2718,2024-10-11,6.0,1645.52,11.79,23.0,Perdido,Medellín,Online,False,False,False
TRX-10028,PROD-1902,2025-02-21,9.0,659.0,54.6,3.0,Entregado,Cali,Físico,False,False,False
TRX-10029,PROD-2839,2026-01-25,8.0,893.54,6.84,7.0,Perdido,Sin Ciudad,Físico,False,False,False
TRX-10030,PROD-3413,2025-06-09,14.0,1546.96,74.22,12.0,Devuelto,Barranquilla,App,False,False,False
TRX-10031,PROD-2139,2025-03-05,8.0,1254.53,51.36,18.0,Devuelto,Bucaramanga,Online,False,False,False
TRX-10032,PROD-1026,2024-12-08,6.0,622.97,48.6,10.0,Perdido,Bogotá,WhatsApp,False,False,False
TRX-10033,PROD-1653,2025-08-02,5.0,778.54,23.64,2.0,Perdido,Bucaramanga,WhatsApp,False,False,False
TRX-10034,PROD-3859,2025-11-12,9.0,618.52,39.32,17.0,Perdido,Medellín,App,False,False,True
TRX-10035,PROD-2731,2025-02-06,12.0,1193.59,22.28,3.0,Sin Información,Barranquilla,Online,False,False,False
TRX-10036,PROD-2393,2025-09-16,2.0,671.92,52.36,1.0,Sin Información,Barranquilla,WhatsApp,False,False,False
TRX-10037,PROD-2138,2025-04-18,7.0,1454.14,74.86,8.0,Retrasado,Medellín,WhatsApp,False,False,False
